split_id,inner_fold,filter_id,alpha
0,2,0,0.008106837049126625
0,2,1,0.00940246693789959
0,2,2,0.010309754870831966
0,2,3,0.008546948432922363
0,2,4,0.009427503682672977
1,2,0,0.006206993479281664
1,2,1,0.011544326320290565
1,2,2,0.010945749469101429
1,2,3,0.01043421495705843
2,2,0,0.008900957182049751
2,2,1,0.008814174681901932
2,2,2,0.007883491925895214
2,2,3,0.010473492555320263
2,2,4,0.010571196675300598
3,1,0,0.009067184291779995
3,1,1,0.009060148149728775
3,1,2,0.009404664859175682
3,1,3,0.010749385692179203
4,0,0,0.007104886695742607
4,0,1,0.007930779829621315
4,0,2,0.011245599947869778
4,0,3,0.014882737770676613
4,0,4,0.011602981947362423
5,0,0,0.01212332770228386
5,0,1,0.007414613850414753
5,0,2,0.010628019459545612
5,0,3,0.010982942767441273
6,2,0,0.00859733298420906
6,2,1,0.006894050166010857
6,2,2,0.011547302827239037
6,2,3,0.009812396951019764
6,2,4,0.008421155624091625
7,1,0,0.009974878281354904
7,1,1,0.010263176634907722
7,1,2,0.009772449731826782
7,1,3,0.008574026636779308
8,2,0,0.0076137809082865715
8,2,1,0.010049075819551945
8,2,2,0.010275815613567829
8,2,3,0.011757452972233295
8,2,4,0.010496195405721664
9,1,0,0.013804735615849495
9,1,1,0.010670778341591358
9,1,2,0.007591866888105869
10,2,0,0.00852458830922842
10,2,1,0.010279454290866852
10,2,2,0.011182015761733055
10,2,3,0.009467433206737041
11,2,0,0.010871442034840584
11,2,1,0.010890558362007141
11,2,2,0.010850188322365284
11,2,3,0.015801869332790375
12,2,0,0.009968960657715797
12,2,1,0.008912373334169388
12,2,2,0.008700038306415081
12,2,3,0.010024618357419968
12,2,4,0.00888562947511673
13,2,0,0.009556077420711517
13,2,1,0.009247448295354843
13,2,2,0.008211066946387291
14,1,0,0.010586883872747421
14,1,1,0.010303471237421036
14,1,2,0.008482166565954685
14,1,3,0.010150576941668987
15,1,0,0.010476983152329922
15,1,1,0.010569212958216667
15,1,2,0.008976439014077187
15,1,3,0.01052158698439598
16,0,0,0.009586159139871597
16,0,1,0.006403587758541107
16,0,2,0.009816368110477924
16,0,3,0.009340385906398296
17,0,0,0.010508856736123562
17,0,1,0.008238174021244049
17,0,2,0.010018360801041126
17,0,3,0.009270880371332169
17,0,4,0.009503246285021305
18,1,0,0.01008696760982275
18,1,1,0.010260900482535362
18,1,2,0.008988961577415466
18,1,3,0.008885318413376808
19,1,0,0.010454898700118065
19,1,1,0.009509334340691566
19,1,2,0.008909180760383606
19,1,3,0.009412411600351334
20,2,0,0.008200597018003464
20,2,1,0.010578490793704987
20,2,2,0.011997357942163944
21,0,0,0.009664386510848999
