split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,network_auc_modified,frequency_auc_modified,frequency_effect_modified,pooled_response_auc,pooled_response_effect,phenotype_status,network_auc_delta,frequency_auc_delta,frequency_effect_delta,filter_count,alpha_values,strongest_positive_filter,strongest_positive_alpha,training_seconds
0,1.0,1.0,0.00735,0.75,0.625,0.0025125,0.625,0.04942391626536846,berechnet,-0.25,-0.375,-0.0048375,3,"[0.007939117029309273, 0.014468506909906864, 0.009075649082660675]",1,0.014468506909906864,16.598555243006558
1,1.0,1.0,0.033825,1.0,0.75,0.0019000000000000002,0.75,0.04719166457653046,berechnet,0.0,-0.25,-0.031925,3,"[0.009050683118402958, 0.011961599811911583, 0.003180603962391615]",2,0.003180603962391615,20.60907426699123
2,1.0,1.0,0.0264375,0.75,0.75,0.0006125,0.875,0.2649316303431988,berechnet,-0.25,-0.25,-0.025825,5,"[0.010340598411858082, 0.01583676040172577, 0.0116063067689538, 0.006284269038587809, 0.02048810012638569]",1,0.01583676040172577,27.75648623899906
3,1.0,1.0,0.00965,0.25,0.875,0.005175000000000001,0.75,0.21213919669389725,berechnet,-0.75,-0.125,-0.004475,3,"[0.08247989416122437, 0.023754907771945, 0.04628296568989754]",2,0.04628296568989754,27.21717659299611
4,0.875,0.875,0.0018875,0.5,0.75,0.00043749999999999995,0.875,0.4705193042755127,berechnet,-0.375,-0.125,-0.0014500000000000001,4,"[0.007527971640229225, 0.009757219813764095, 0.005650432780385017, 0.007797215133905411]",3,0.007797215133905411,25.226231637003366
5,1.0,1.0,0.0126375,0.625,1.0,0.0095625,1.0,0.7452346435748041,berechnet,-0.375,0.0,-0.0030749999999999996,4,"[0.026460519060492516, 0.012437699362635612, 0.02676970325410366, 0.06177070364356041]",1,0.012437699362635612,39.44217087001016
6,0.625,0.5,0.003,0.75,0.875,0.0056500000000000005,0.875,1.1371083110570908,berechnet,0.125,0.375,0.0026500000000000004,5,"[0.013602051883935928, 0.012157691642642021, 0.010520847514271736, 0.008697382174432278, 0.0034506837837398052]",3,0.008697382174432278,35.6191262909997
7,0.75,0.75,0.0004625,0.625,0.75,0.0004249999999999998,0.75,0.2008307185024023,berechnet,-0.125,0.0,-3.750000000000021e-05,4,"[0.009886151179671288, 0.021752098575234413, 0.010078905150294304, 0.014069315046072006]",2,0.010078905150294304,18.685839499987196
8,0.5,0.9375,0.008875,1.0,1.0,0.003325,1.0,1.0421118661761284,berechnet,0.5,0.0625,-0.005549999999999999,4,"[0.00626564072445035, 0.008954771794378757, 0.0070962500758469105, 0.008987704291939735]",0,0.00626564072445035,19.297428218997084
9,1.0,1.0,0.003225,0.75,0.625,0.002724999999999999,0.5,0.25411249697208405,berechnet,-0.25,-0.375,-0.0005000000000000009,5,"[0.007742564659565687, 0.007341540418565273, 0.03189081698656082, 0.012343277223408222, 0.014103286899626255]",2,0.03189081698656082,41.584559664013796
10,0.875,0.75,0.0006625,0.75,0.75,0.005475000000000001,0.75,0.679524153470993,berechnet,-0.125,0.0,0.004812500000000001,4,"[0.010743404738605022, 0.010224205441772938, 0.009054284542798996, 0.006971050053834915]",1,0.010224205441772938,22.038730428001145
11,0.875,0.875,0.0026875,0.875,1.0,0.020525,1.0,0.5082519203424454,berechnet,0.0,0.125,0.017837500000000003,4,"[0.013042138889431953, 0.012189608067274094, 0.019308926537632942, 0.027038952335715294]",1,0.012189608067274094,31.590736940997886
12,0.75,0.75,0.0033875,0.625,0.5625,-0.0003874999999999998,0.625,0.030174657702445984,berechnet,-0.125,-0.1875,-0.0037749999999999997,5,"[0.01359495148062706, 0.007536537013947964, 0.013018768280744553, 0.0064123282209038734, 0.008557704277336597]",3,0.0064123282209038734,22.64251839600911
13,1.0,1.0,0.012225,0.875,1.0,0.007412499999999999,1.0,1.0892068967223167,berechnet,-0.125,0.0,-0.004812500000000001,5,"[0.010162393562495708, 0.016619162634015083, 0.007576713804155588, 0.01087507326155901, 0.020235255360603333]",3,0.01087507326155901,25.061790658990503
14,1.0,1.0,0.00895,0.625,0.5,0.0,0.125,-0.026021738536655903,berechnet,-0.375,-0.5,-0.00895,3,"[0.011084499768912792, 0.0112958624958992, 0.008618713356554508]",1,0.0112958624958992,15.602711487008492
15,0.625,0.5,-0.0010125,0.75,0.5,-0.0009625000000000001,0.5,0.026462262496352196,berechnet,0.125,0.0,4.9999999999999806e-05,4,"[0.008082601241767406, 0.008439475670456886, 0.005420622881501913, 0.009137536399066448]",2,0.005420622881501913,20.902533037005924
16,0.625,0.875,0.0114499999999999,0.875,0.6875,0.00023750000000000005,0.875,0.19317445531487465,berechnet,0.25,-0.1875,-0.0112124999999999,5,"[0.003530289279296994, 0.00624370900914073, 0.010810194537043571, 0.008671090006828308, 0.007873148657381535]",2,0.010810194537043571,18.809397254997748
17,0.625,1.0,0.0038374999999999,0.75,0.75,0.009112499999999999,0.75,0.24962179362773895,berechnet,0.125,-0.25,0.005275000000000099,4,"[0.019168075174093246, 0.010425999760627747, 0.0605916753411293, 0.02088870480656624]",3,0.02088870480656624,27.535550659013097
18,1.0,1.0,0.0156125,0.875,0.875,0.0008875,0.875,0.24824231676757336,berechnet,-0.125,-0.125,-0.014725,3,"[0.007273687981069088, 0.010256513021886349, 0.007866219617426395]",0,0.007273687981069088,18.339637190001667
19,0.5,0.625,0.0007374999999999,1.0,0.25,-0.003425,0.25,-0.0588443570304662,berechnet,0.5,-0.375,-0.0041624999999999,4,"[0.01747150346636772, 0.00817420519888401, 0.01599632203578949, 0.007017820607870817]",2,0.01599632203578949,18.985111128000426
20,0.75,0.75,0.000325,0.875,0.75,0.0017375000000000003,0.75,0.17007339373230934,berechnet,0.125,0.0,0.0014125000000000003,5,"[0.023691870272159576, 0.02542068064212799, 0.0038537869695574045, 0.008616716600954533, 0.013108039274811745]",1,0.02542068064212799,32.388810180011205
21,0.625,0.5,0.003475,0.25,0.625,0.003712499999999999,0.625,0.06815949454903603,berechnet,-0.375,0.125,0.000237499999999999,4,"[0.01896239072084427, 0.008621972985565662, 0.027913184836506844, 0.00913984701037407]",0,0.01896239072084427,21.00493819100666
22,0.625,0.875,0.0090375,1.0,1.0,0.019325000000000002,1.0,1.118188064545393,berechnet,0.375,0.125,0.010287500000000002,5,"[0.006196583155542612, 0.00935152918100357, 0.012645632959902287, 0.002720218151807785, 0.007499950472265482]",2,0.012645632959902287,25.607455792007386
23,0.625,1.0,0.0075375,0.5,0.5,-0.0016875000000000015,0.5,0.08307779207825661,berechnet,-0.125,-0.5,-0.009225,5,"[0.0074643236584961414, 0.008348792791366577, 0.007088657468557358, 0.018397612497210503, 0.0048592593520879745]",3,0.018397612497210503,23.618173915994703
24,1.0,1.0,0.0252249999999999,0.75,0.5,0.0009375,0.625,0.16656281985342503,berechnet,-0.25,-0.5,-0.0242874999999999,5,"[0.010359412059187889, 0.012795885093510151, 0.00998945813626051, 0.00860152393579483, 0.007988088764250278]",0,0.010359412059187889,18.098795683996286
25,0.875,1.0,0.0025375,0.5,0.875,0.000175,1.0,0.2100156769156456,berechnet,-0.375,-0.125,-0.0023625,4,"[0.008966624736785889, 0.008545885793864727, 0.011240903288125992, 0.008806733414530754]",0,0.008966624736785889,21.611830406996887
26,0.875,0.875,0.003475,0.875,0.75,0.0009249999999999999,0.875,0.16106088925153017,berechnet,0.0,-0.125,-0.0025499999999999997,5,"[0.012173398397862911, 0.006130271591246128, 0.013873050920665264, 0.007942287251353264, 0.010034486651420593]",3,0.007942287251353264,21.903643362995354
27,0.75,0.625,0.0109624999999999,0.875,1.0,0.0079625,1.0,1.4791983217000961,berechnet,0.125,0.375,-0.0029999999999998986,5,"[0.008977861143648624, 0.03269602730870247, 0.009779779240489006, 0.0036364307161420584, 0.013627640902996063]",3,0.0036364307161420584,30.19047031700029
28,1.0,1.0,0.0137875,0.75,0.5625,0.0012125,0.75,0.3094667047262192,berechnet,-0.25,-0.4375,-0.012575,3,"[0.0020054737105965614, 0.006459485739469528, 0.009875057265162468]",0,0.0020054737105965614,21.46169646999624
29,1.0,1.0,0.0144375,1.0,1.0,0.0123375,1.0,1.336124949157238,berechnet,0.0,0.0,-0.002100000000000001,4,"[0.009782536886632442, 0.004326688125729561, 0.0125753004103899, 0.006471581757068634]",0,0.009782536886632442,18.86011579800106
30,0.875,0.875,0.00315,1.0,1.0,0.009174999999999999,1.0,1.2591519132256508,berechnet,0.125,0.125,0.006024999999999999,4,"[0.0069693406112492085, 0.01236181240528822, 0.010841199196875095, 0.003547877073287964]",0,0.0069693406112492085,20.43486827299057
31,0.875,0.75,0.0003875,0.625,0.625,8.750000000000001e-05,0.625,0.29359113797545433,berechnet,-0.25,-0.125,-0.0003,5,"[0.007748084142804146, 0.005485292989760637, 0.020450325682759285, 0.002810955047607422, 0.0038603474386036396]",1,0.005485292989760637,43.380037984999944
32,1.0,0.875,0.0063374999999999,0.875,0.875,0.0051,1.0,0.6285025700926781,berechnet,-0.125,0.0,-0.0012374999999998993,5,"[0.01154661737382412, 0.010932361707091331, 0.00888871680945158, 0.00910727959126234, 0.013052442111074924]",2,0.00888871680945158,22.574911882999004
33,0.75,1.0,0.002025,0.5,0.875,0.001175,0.75,0.11133884824812412,berechnet,-0.25,-0.125,-0.0008499999999999998,5,"[0.00968125555664301, 0.010603264905512333, 0.016522612422704697, 0.020631926134228706, 0.02068776823580265]",4,0.02068776823580265,23.86493860500923
34,0.875,1.0,0.0015375,0.75,0.75,0.0026249999999999997,0.75,0.19577899761497974,berechnet,-0.125,-0.25,0.0010874999999999997,4,"[0.010227477177977562, 0.006763279903680086, 0.007810838986188173, 0.012513641268014908]",1,0.006763279903680086,18.190713948002667
35,0.875,0.8125,0.0052125,0.875,0.6875,0.0007624999999999999,0.75,0.1728766057640314,berechnet,0.0,-0.125,-0.00445,5,"[0.00858707632869482, 0.009952319785952568, 0.027198120951652527, 0.004854790400713682, 0.0113100316375494]",0,0.00858707632869482,21.792659516999265
36,0.875,1.0,0.0061625,0.625,0.75,0.007324999999999998,0.75,0.3535209372639656,berechnet,-0.25,-0.25,0.0011624999999999986,4,"[0.025904128327965736, 0.012528333812952042, 0.010967431589961052, 0.011580321006476879]",0,0.025904128327965736,30.13209759599704
