split_id,network_auc,average_precision,balanced_accuracy,frequency_auc,frequency_effect,phenotype_available,model,common_frequency_split
0,1.0,1.0,0.875,1.0,0.007350000000000001,True,cellcnn,True
1,1.0,1.0,1.0,1.0,0.033825,True,cellcnn,True
2,1.0,1.0,0.75,1.0,0.026437500000000003,True,cellcnn,True
3,1.0,1.0,0.875,1.0,0.00965,True,cellcnn,True
4,0.875,0.8333333333333333,0.625,0.875,0.0018875,True,cellcnn,True
5,1.0,1.0,0.875,1.0,0.0126375,True,cellcnn,True
6,0.625,0.7,0.625,0.5,0.003,True,cellcnn,True
7,0.75,0.75,0.5,0.75,0.0004625,True,cellcnn,True
8,0.5,0.6666666666666666,0.5,0.9375,0.008875000000000001,True,cellcnn,True
9,1.0,1.0,0.75,1.0,0.003225,True,cellcnn,True
10,0.875,0.8333333333333333,0.5,0.75,0.0006625000000000001,True,cellcnn,True
11,0.875,0.8333333333333333,0.75,0.875,0.0026875000000000002,True,cellcnn,True
12,0.75,0.75,0.5,0.75,0.0033875,True,cellcnn,True
13,1.0,1.0,0.75,1.0,0.012225,True,cellcnn,True
14,1.0,1.0,0.875,1.0,0.008950000000000001,True,cellcnn,True
15,0.625,0.5,0.5,0.5,-0.0010125000000000004,True,cellcnn,True
16,0.625,0.7,0.5,0.875,0.011449999999999998,True,cellcnn,True
17,0.625,0.7,0.5,1.0,0.0038374999999999998,True,cellcnn,True
18,1.0,1.0,0.75,1.0,0.015612500000000001,True,cellcnn,True
19,0.5,0.6666666666666666,0.5,0.625,0.0007374999999999994,True,cellcnn,True
20,0.75,0.75,0.625,0.75,0.000325,True,cellcnn,True
21,0.625,0.7,0.375,0.5,0.003475,True,cellcnn,True
22,0.625,0.7,0.5,0.875,0.0090375,True,cellcnn,True
23,0.625,0.7,0.625,1.0,0.0075375,True,cellcnn,True
24,1.0,1.0,0.875,1.0,0.025224999999999997,True,cellcnn,True
25,0.875,0.8333333333333333,0.875,1.0,0.0025375,True,cellcnn,True
26,0.875,0.8333333333333333,0.625,0.875,0.0034750000000000002,True,cellcnn,True
27,0.75,0.75,0.5,0.625,0.010962499999999998,True,cellcnn,True
28,1.0,1.0,0.875,1.0,0.0137875,True,cellcnn,True
29,1.0,1.0,1.0,1.0,0.0144375,True,cellcnn,True
30,0.875,0.8333333333333333,0.75,0.875,0.00315,True,cellcnn,True
31,0.875,0.8333333333333333,0.5,0.75,0.00038750000000000004,True,cellcnn,True
32,1.0,1.0,0.75,0.875,0.006337499999999999,True,cellcnn,True
33,0.75,0.75,0.75,1.0,0.0020250000000000003,True,cellcnn,True
34,0.875,0.8333333333333333,0.75,1.0,0.0015375,True,cellcnn,True
35,0.875,0.8333333333333333,0.625,0.8125,0.005212500000000001,True,cellcnn,True
36,0.875,0.8333333333333333,0.875,1.0,0.0061625,True,cellcnn,True
37,1.0,1.0,0.75,1.0,0.0084125,True,cellcnn,True
38,0.375,0.41666666666666663,0.375,0.375,-0.041624999999999995,True,cellcnn,True
39,0.875,0.8333333333333333,0.875,0.875,0.006225,True,cellcnn,True
40,0.375,0.41666666666666663,0.5,0.625,0.00031249999999999984,True,cellcnn,True
41,0.5,0.41666666666666663,0.5,0.5625,0.0018249999999999998,True,cellcnn,True
42,0.625,0.5,0.5,0.5,-8.74999999999999e-05,True,cellcnn,True
43,0.875,0.8333333333333333,0.875,1.0,0.011537500000000001,True,cellcnn,True
44,0.5,0.6666666666666666,0.75,,,False,cellcnn,False
45,1.0,1.0,0.625,1.0,0.01605,True,cellcnn,True
46,1.0,1.0,0.75,0.875,0.0011625,True,cellcnn,True
47,0.75,0.75,0.625,0.875,0.0050625,True,cellcnn,True
48,0.75,0.5833333333333333,0.625,0.875,0.0123,True,cellcnn,True
49,0.625,0.7,0.375,0.625,0.001,True,cellcnn,True
50,0.75,0.75,0.625,0.75,0.0051375,True,cellcnn,True
51,1.0,1.0,0.875,1.0,0.0102125,True,cellcnn,True
52,1.0,1.0,0.75,1.0,0.0033499999999999997,True,cellcnn,True
53,1.0,1.0,1.0,1.0,0.0124,True,cellcnn,True
54,0.25,0.325,0.125,0.5,-0.00039999999999999996,True,cellcnn,True
55,1.0,1.0,1.0,1.0,0.015187500000000001,True,cellcnn,True
56,0.75,0.75,0.625,0.875,0.013225,True,cellcnn,True
57,0.875,0.8333333333333333,0.75,0.875,0.00445,True,cellcnn,True
58,1.0,1.0,0.875,1.0,0.0178375,True,cellcnn,True
59,0.75,0.75,0.5,0.75,0.0012125,True,cellcnn,True
60,0.75,0.5833333333333333,0.75,0.875,0.0239375,True,cellcnn,True
61,0.625,0.7,0.5,1.0,0.007987500000000002,True,cellcnn,True
62,1.0,1.0,0.75,1.0,0.0101,True,cellcnn,True
63,0.875,0.8333333333333333,0.5,0.625,0.00015000000000000001,True,cellcnn,True
64,0.875,0.8333333333333333,0.875,1.0,0.007975,True,cellcnn,True
65,1.0,1.0,1.0,1.0,0.0168625,True,cellcnn,True
66,1.0,1.0,0.5,1.0,0.0016375,True,cellcnn,True
67,0.875,0.8333333333333333,0.625,1.0,0.0156125,True,cellcnn,True
68,0.75,0.75,0.75,0.625,0.0019124999999999993,True,cellcnn,True
69,0.75,0.5833333333333333,0.375,0.6875,0.0004875,True,cellcnn,True
70,0.625,0.7,0.625,0.625,0.007487499999999999,True,cellcnn,True
71,0.75,0.75,0.5,0.875,0.006274999999999999,True,cellcnn,True
72,0.875,0.8333333333333333,0.625,1.0,0.0117625,True,cellcnn,True
73,0.75,0.75,0.625,0.75,0.00925,True,cellcnn,True
74,0.5,0.45,0.5,0.625,0.00035000000000000005,True,cellcnn,True
75,0.875,0.8333333333333333,0.625,0.875,0.0049,True,cellcnn,True
76,1.0,1.0,0.75,1.0,0.014575000000000003,True,cellcnn,True
77,0.875,0.8333333333333333,0.75,0.875,0.0062875,True,cellcnn,True
78,1.0,1.0,0.75,1.0,0.025174999999999996,True,cellcnn,True
79,1.0,1.0,1.0,1.0,0.0086625,True,cellcnn,True
80,0.625,0.7,0.5,0.625,0.000125,True,cellcnn,True
81,0.75,0.75,0.625,0.875,0.013587499999999999,True,cellcnn,True
82,1.0,1.0,0.875,1.0,0.01425,True,cellcnn,True
83,1.0,1.0,1.0,1.0,0.008212500000000001,True,cellcnn,True
84,0.375,0.41666666666666663,0.375,,,False,cellcnn,False
85,0.75,0.75,0.5,0.875,0.005487499999999999,True,cellcnn,True
86,1.0,1.0,1.0,1.0,0.021675000000000003,True,cellcnn,True
87,0.75,0.75,0.75,0.875,0.0007,True,cellcnn,True
88,1.0,1.0,0.75,0.75,0.0016625,True,cellcnn,True
89,0.875,0.8333333333333333,0.75,1.0,0.015874999999999997,True,cellcnn,True
90,0.875,0.8333333333333333,0.75,0.75,0.007325,True,cellcnn,True
91,0.75,0.5833333333333333,0.625,0.5625,0.0046625,True,cellcnn,True
92,1.0,1.0,1.0,0.875,0.013024999999999998,True,cellcnn,True
93,0.75,0.75,0.75,0.75,0.005425,True,cellcnn,True
94,0.375,0.41666666666666663,0.25,0.375,6.250000000000006e-05,True,cellcnn,True
95,1.0,1.0,0.875,1.0,0.0115,True,cellcnn,True
96,0.25,0.325,0.25,1.0,0.0020625,True,cellcnn,True
97,0.625,0.7,0.625,0.8125,0.013225,True,cellcnn,True
98,0.875,0.8333333333333333,0.875,1.0,0.0093875,True,cellcnn,True
99,0.875,0.8333333333333333,0.75,1.0,0.009587499999999999,True,cellcnn,True
0,1.0,1.0,1.0,1.0,0.0075875,True,quadratic_top1,True
1,1.0,1.0,1.0,1.0,0.0072375,True,quadratic_top1,True
2,1.0,1.0,0.75,0.6875,0.0046749999999999995,True,quadratic_top1,True
3,1.0,1.0,1.0,1.0,0.0126875,True,quadratic_top1,True
4,1.0,1.0,1.0,0.875,0.0007999999999999999,True,quadratic_top1,True
5,1.0,1.0,1.0,1.0,0.012937500000000001,True,quadratic_top1,True
6,0.875,0.8333333333333333,0.625,0.5,0.003912499999999999,True,quadratic_top1,True
7,0.625,0.7,0.375,0.625,1.25e-05,True,quadratic_top1,True
8,0.875,0.8333333333333333,0.75,0.75,0.0044875,True,quadratic_top1,True
9,1.0,1.0,1.0,0.9375,0.0010375,True,quadratic_top1,True
10,1.0,1.0,0.75,0.9375,0.0063999999999999994,True,quadratic_top1,True
11,1.0,1.0,0.5,1.0,0.00031250000000000006,True,quadratic_top1,True
12,0.75,0.75,0.5,0.5625,0.00155,True,quadratic_top1,True
13,0.875,0.8333333333333333,0.625,1.0,0.008249999999999999,True,quadratic_top1,True
14,1.0,1.0,1.0,1.0,0.006425,True,quadratic_top1,True
